豆虎咖啡/ Fat Cat Cafe',00001,台北市內湖區成功路三段187巷3弄31號,https://www.facebook.com/fatcatbreakfastcafe
U2電影館,00002,,http://www.u2mtv.com/
雅米創意,00003,台北市信義路五段150巷411弄6號1樓,http://yamistation.com/
